"timestamp","VAL_23-LIC-92521:Z.Y.Value|average","VAL_23-LIC-92521:Z.X.Value|average","VAL_23-LIC-92521:Control Module:YR|average"
"2018-07-01 23:00:00",38.2205209251709,35.693557407939906,
"2018-07-01 23:00:01",37.98529590269852,35.634222329524995,
"2018-07-01 23:00:02",38.239428254734044,35.6971745262146,
"2018-07-01 23:00:03",38.256350101120084,35.70082100068753,
"2018-07-01 23:00:04",38.01144216174307,35.63906731309801,
"2018-07-01 23:00:05",38.82607961530508,35.84202768380608,
"2018-07-01 23:00:06",38.599329361076215,35.78467818499504,
"2018-07-01 23:00:07",38.06869246221351,35.65147272787284,
"2018-07-01 23:00:08",37.5816445850296,35.53003437509346,
"2018-07-01 23:00:09",37.29565984729577,,
"2018-07-01 23:00:10",37.65400543821907,35.5739806380291,
"2018-07-01 23:00:11",36.92507718441773,35.36398879031754,
"2018-07-01 23:00:12",37.29665251093102,35.456502523040776,
"2018-07-01 23:00:13",38.1273809516057,35.663631826506666,
"2018-07-01 23:00:14",38.052560385741245,35.644395261448054,
"2018-07-01 23:00:15",38.27272556773122,35.69885286275802,
"2018-07-01 23:00:16",38.47583362798693,35.749008425559516,
"2018-07-01 23:00:17",37.81848446133382,35.58418248418791,
"2018-07-01 23:00:18",38.187541282053864,35.67588537327362,
"2018-07-01 23:00:19",37.741703618024744,35.56395437787131,
"2018-07-01 23:00:20",37.944073777388255,35.61403707528978,
"2018-07-01 23:00:21",38.86409690219085,35.843337923210655,
"2018-07-01 23:00:22",38.03537516571571,35.63562367516879,
"2018-07-01 23:00:23",37.6492281924107,35.53864158124238,
"2018-07-01 23:00:24",37.896853898427494,35.599416454933134,
"2018-07-01 23:00:25",37.944712719012955,,
"2018-07-01 23:00:26",37.940677374601364,,
"2018-07-01 23:00:27",37.481105487207465,35.44510553292204,
"2018-07-01 23:00:28",38.04820735854715,35.6359260907633,
"2018-07-01 23:00:29",38.324762855529784,35.704473992156984,
"2018-07-01 23:00:30",38.00151146740091,35.62314202199475,
"2018-07-01 23:00:31",38.48215877757314,35.74269009429395,
"2018-07-01 23:00:32",39.2145697002469,35.9250195720963,
"2018-07-01 23:00:33",38.59723753796281,35.77004041003523,
"2018-07-01 23:00:34",38.93051775587267,35.85265545183152,
"2018-07-01 23:00:35",38.70672071374446,35.79604075304456,
"2018-07-01 23:00:36",38.42353592350565,35.72464275668407,
"2018-07-01 23:00:37",37.88546424332609,35.589636873624045,
"2018-07-01 23:00:38",37.615478248295716,35.52170205112098,
"2018-07-01 23:00:39",37.72857994772853,35.54952104083714,
"2018-07-01 23:00:40",38.61274689537687,35.769918826040715,
"2018-07-01 23:00:41",37.69829342797602,35.540848682037975,
"2018-07-01 23:00:42",37.835858808964204,35.57476391928537,
"2018-07-01 23:00:43",37.849691063297925,35.57773866517203,
"2018-07-01 23:00:44",38.56018432932544,35.754734816630744,
"2018-07-01 23:00:45",38.07352689155208,35.63254138461743,
"2018-07-01 23:00:46",38.05920199192592,35.62843861716134,
"2018-07-01 23:00:47",38.568041856575014,35.7550227355957,
"2018-07-01 23:00:48",38.85550055157327,35.82619870452106,
"2018-07-01 23:00:49",38.901676211579804,35.83703827591717,
"2018-07-01 23:00:50",38.67945385919298,35.780827971867154,
"2018-07-01 23:00:51",38.76606523880326,35.80181857379473,
"2018-07-01 23:00:52",38.5979736062045,35.75916056984524,
"2018-07-01 23:00:53",38.18203644871712,35.654627117252346,
"2018-07-01 23:00:54",38.087695414686195,35.63051631731987,
"2018-07-01 23:00:55",38.2051844228472,35.65933901786804,
"2018-07-01 23:00:56",38.84510105326516,35.81864140739441,
"2018-07-01 23:00:57",38.507169264984135,35.733551427268985,
"2018-07-01 23:00:58",38.27403128885086,35.6747046147332,
"2018-07-01 23:00:59",38.34276034685319,35.691305561162494,
"2018-07-01 23:01:00",38.655137384128565,35.768755968046186,
"2018-07-01 23:01:01",38.30498647745678,35.68065119530132,
"2018-07-01 23:01:02",38.73313547183446,35.78703758286067,
"2018-07-01 23:01:03",38.527610855898395,35.735048133630315,
"2018-07-01 23:01:04",38.30354980067639,35.67846289010909,
"2018-07-01 23:01:05",37.69520432526725,35.525940262004305,
"2018-07-01 23:01:06",38.991341361234284,35.849269026248805,
"2018-07-01 23:01:07",39.21912573829879,35.905461779369475,
"2018-07-01 23:01:08",38.13596911938477,35.63414485998535,
"2018-07-01 23:01:09",38.70350216033886,35.775381805443736,
"2018-07-01 23:01:10",38.133890015009854,35.632445039717275,
"2018-07-01 23:01:11",37.96680305438761,35.59018324553722,
"2018-07-01 23:01:12",38.7564092316031,35.78693214066668,
"2018-07-01 23:01:13",38.69181365899689,35.77013469417506,
"2018-07-01 23:01:14",37.21267558144787,35.4000182720839,
"2018-07-01 23:01:15",38.73678723803513,35.78039381812318,
"2018-07-01 23:01:16",38.067579739624016,35.612575914794924,
"2018-07-01 23:01:17",37.96583037651098,35.586649614377,
"2018-07-01 23:01:18",38.364876579787854,35.68584572278121,
"2018-07-01 23:01:19",38.3752149502747,35.68786016642253,
"2018-07-01 23:01:20",37.90567929655146,35.569995823933915,
"2018-07-01 23:01:21",38.711420701293946,35.77078662768555,
"2018-07-01 23:01:22",38.42854618835449,35.699485107177736,
"2018-07-01 23:01:23",37.896940579345696,35.5661121459961,
"2018-07-01 23:01:24",37.5735144741211,35.484851501464846,
"2018-07-01 23:01:25",37.78633146134792,35.5376077140748,
"2018-07-01 23:01:26",37.21473963606419,35.39438550333242,
"2018-07-01 23:01:27",37.83957560410117,35.55013747809086,
